sample_id,total_reads,pass_qc,reads_mapped,reference,percent_reference_coverage,median_coverage,count_minor_snv_at_or_over_5_pct,pass_fail_reason,subtype,mira_module,runid,instrument,clade,short_clade,subclade
3101678985_N90NX5I4_v1,742112,734588,52126,A_NS,97.1,4988,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678985_N90NX5I4_v1,742112,734588,116160,A_PA,100.0,3702,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678985_N90NX5I4_v1,742112,734588,74788,A_PB1,100.0,2368,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678985_N90NX5I4_v1,742112,734588,105766,A_PB2,100.0,2991,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678986_N90NX5IE_v1,679256,672745,87751,A_HA_H3,99.82,4190,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101678986_N90NX5IE_v1,679256,672745,99312,A_MP,100.0,8373,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678986_N90NX5IE_v1,679256,672745,71190,A_NA_N2,100.0,3999,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678986_N90NX5IE_v1,679256,672745,57056,A_NP,100.0,3211,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678986_N90NX5IE_v1,679256,672745,38192,A_NS,97.1,3699,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678986_N90NX5IE_v1,679256,672745,107597,A_PA,100.0,3264,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678986_N90NX5IE_v1,679256,672745,89745,A_PB1,100.0,2312,1,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678986_N90NX5IE_v1,679256,672745,97418,A_PB2,100.0,2957,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678987_N90NX5IO_v1,961274,954035,131221,A_HA_H3,99.82,6237,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,3C.2a1b.2a.2a.3a.1,2a.3a.1,J.2
3101678987_N90NX5IO_v1,961274,954035,154639,A_MP,100.0,12632,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
3101678987_N90NX5IO_v1,961274,954035,114718,A_NA_N2,100.0,6663,0,Pass,H3N2,MIRA-NF-v2.0.0 illumina-flu default-config,example_mira_output_2,illumina,,,
