Barcode #,Sample ID,Sample Type
barcode03,1240503027,Test
barcode26,1240503038,Test
barcode27,1240508028,Test
barcode18,1240511016,Test
barcode38,1240511026,Test
barcode20,1240512023,Test
barcode21,1240512027,Test
barcode46,1240609001,Test
barcode30,1240609013,Test
barcode49,1240610006,Test
barcode31,1240610025,Test
barcode74,1240610040,Test
barcode37,1240612018,Test
barcode44,1240903032,Test
barcode31,1240904021,Test
barcode33,1240908026,Test
barcode36,1240912025,Test
barcode65,1250211009,Test
barcode67,1250303015,Test
barcode66,1250311003,Test
barcode17,2240510024,Test
barcode32,2240511030,Test
barcode39,2240511047,Test
barcode44,2240513045,Test
barcode11,2240514007,Test
barcode45,2240514042,Test
barcode52,2240611003,Test
barcode53,2240611016,Test
barcode56,2240613006,Test
barcode68,2240613025,Test
barcode47,2240614003,Test
barcode86,2240710011,Test
barcode88,2240710021,Test
barcode81,2240714007,Test
barcode89,2240714021,Test
barcode30,2240903034,Test
barcode29,2240910006,Test
barcode90,2250413034,Test
barcode35,3240512023,Test
barcode54,3240611006,Test
